day,PLANT_ID,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,losses
2020-05-15,8079791954,5627239.14287174,550830.959402493,5053590.975004825,13396793557.109,9.788653821479288
2020-05-16,7997091934,5806137.51787943,568359.821427751,6699904.607149578,13273365619.887,9.788948671600401
2020-05-17,8733122112,6759594.5476113,660975.38928503,7804065.285705055,14507767212.652,9.778328931261195
2020-05-18,8733122112,4812548.5357064,470969.708928819,5130289.749994978,14520941632.08,9.78628486413153
2020-05-19,8228651990,5437954.85120532,532250.491070415,5896320.720241115,13707398625.521,9.787696029738862
2020-05-20,6913721672,5375585.77019652,525084.567381412,5612536.058327079,11517627080.434,9.767950690929373
2020-05-21,5656681368,6781068.1452019,662742.44940459,6627302.732134,9446312276.618,9.773422640996884
2020-05-22,8385782028,6420684.50121699,627830.107974623,5555931.154361003,13989682404.258,9.778242613472484
2020-05-23,8096331958,7630217.18213866,745884.287973909,8468993.04166487,13536007824.578,9.77540049213706
2020-05-24,8733122112,7160353.89284891,699817.8107138519,8181251.14285372,14617604912.354,9.773508700635094
2020-05-25,8518102060,7898965.11305902,771576.161311865,9053215.005957896,14274488003.537,9.768066452607206
2020-05-26,8567722072,7052704.9285752,689483.769640826,4376113.160716632,14370690386.214,9.77616073015147
2020-05-27,8485022052,5985527.1035714,585707.85571532,5127006.673816909,14241493359.957,9.785401445527565
2020-05-28,8187301980,7501395.16904485,733119.455711131,7578132.380947631,13765662386.061,9.773108057770523
2020-05-29,6161151490,7295130.2143153,713110.62762379,6103425.459524605,10361608901.847,9.775159684256856
2020-05-30,8733122112,6502312.89286153,636043.194639892,7050152.267858636,14717064640.771,9.781799263123169
2020-05-31,8708312106,5378552.5000112,525939.175002069,6214019.875001664,14692824440.482,9.778452009178562
2020-06-01,8733122112,5210134.03333625,509691.499996352,6387987.875012461,14744264192.245,9.782694585881448
2020-06-02,8633882088,6631810.88096348,648667.570833055,6224743.422616758,14592375567.386,9.781153028579963
2020-06-03,8658692094,6732591.2678688,658508.402385439,7677981.077370919,14646349751.442,9.780905689732888
2020-06-04,8485022052,7321031.45829891,715775.188695238,6091402.32739208,14359992466.795,9.776971903103297
2020-06-05,8600802080,6898473.83341526,674574.155956887,6384126.952379273,14585786500.123,9.77859990842239
2020-06-06,8485022052,5730938.50002342,560332.525003117,5076816.839289464,14391175594.635,9.777325738198503
2020-06-07,8733122112,6876444.16067627,672139.494642089,7747108.232145857,14836652886.872,9.774521234183728
2020-06-08,8733122112,7470115.06309276,730087.464753887,8505252.048805702,14853559498.911,9.77344336181641
2020-06-09,8733122112,7234008.89295022,707237.483923641,8260297.071423205,14870870835.858,9.776563650797655
2020-06-10,8733122112,5784039.52143814,565937.491073472,6679793.628574138,14886267725.306,9.784467913399693
2020-06-11,8733122112,5045678.57143236,494174.862500689,5538094.160722722,14898727915.042,9.794021864543847
2020-06-12,8733122112,5222353.91071287,511289.694645006,5848817.142843873,14910909409.459,9.790406843093733
2020-06-13,8733122112,7593776.26783651,742032.653568625,8705923.410706723,14926038840.753,9.771589620193437
2020-06-14,8733122112,6350494.5893161,621509.294643216,7240643.089281171,14942354629.358,9.78678567317932
2020-06-15,8733122112,6055535.91074581,592483.864288816,7137432.839291677,14957130235.852,9.784168949232516
2020-06-16,8733122112,5572501.26387953,545506.678770242,6512584.825396898,14970675327.966,9.7892607455501
2020-06-17,8551182068,5317779.82146371,520383.536430166,6138882.57143137,14671372833.072,9.78572926862796
